"Age","Vehicle_Use","Severity","Claim_Count","Car_Model","Group","Exposure"
"E","DriveShort",201.067622005492,480.86594596639,"Mazda CX-9","Midsize SUVs",96686.5722588833
"E","Business",254.895542170572,165.907417079341,"Hyundai Sonata","Midsize Cars",42289.0610265577
"G","DriveShort",201.368328149838,869.402079565963,"Mazda CX-9","Midsize SUVs",175070.04325219
"B","Pleasure",214.017834009579,62.1356683054939,"Mazda CX-9","Midsize SUVs",13298.1411454795
"B","DriveLong",291.776632242375,93.1448989081662,"Ford Explorer","Midsize SUVs",27177.5049139812
"H","DriveLong",262.606770065352,317.06794878887,"Ford Explorer","Midsize SUVs",83264.1899226916
"H","Pleasure",189.530998583883,254.794063925976,"Mazda CX-9","Midsize SUVs",48291.373369136
"H","DriveLong",264.264881048886,308.503593328223,"Ford Explorer","Midsize SUVs",81526.6653940366
"E","DriveShort",206.664541754976,467.536973786238,"Mazda CX-9","Midsize SUVs",96623.3144410409
"E","DriveShort",197.687124188515,481.305019055551,"Mazda CX-9","Midsize SUVs",95147.8050745905
"C","DriveShort",248.374537566433,351.33977723018,"Subaru Legacy","Midsize Cars",87263.8546982395
"B","Pleasure",215.672889371482,64.0879233842134,"Mazda CX-9","Midsize SUVs",13822.0276100914
"D","Business",373.330321417371,169.773124780483,"Hyundai Sonata","Midsize Cars",63381.455242329
"C","DriveLong",301.855629232493,315.509307102626,"Ford Explorer","Midsize SUVs",95238.2604241712
"C","Pleasure",249.652916521774,141.024859980214,"Ford Explorer","Midsize SUVs",35207.2675961354
"H","Pleasure",196.1853271164,253.983251602156,"Mazda CX-9","Midsize SUVs",49827.7872976559
"C","Pleasure",253.439163020023,137.315085932612,"Ford Explorer","Midsize SUVs",34801.0204487838
"A","Pleasure",248.442544664252,21.0174061893602,"Mazda CX-9","Midsize SUVs",5221.61787592684
"G","Pleasure",207.351789817761,270.938267846568,"Ford Explorer","Midsize SUVs",56179.5347681099
"E","DriveShort",206.363893074268,469.481577872799,"Mazda CX-9","Midsize SUVs",96884.0461364812
"G","DriveLong",258.876386516508,515.77035181364,"Ford Explorer","Midsize SUVs",133520.764949864
"H","Business",337.922267711896,98.1551622088999,"Subaru Legacy","Midsize Cars",33168.8150012604
"H","Pleasure",190.149691242725,265.677458844613,"Mazda CX-9","Midsize SUVs",50518.4867694549
"G","Business",337.949355676758,164.094663263136,"Subaru Legacy","Midsize Cars",55455.6857197713
"B","DriveShort",291.787738115049,166.908861511736,"Hyundai Sonata","Midsize Cars",48701.9591718675
"A","DriveShort",281.149822334698,39.8531600399874,"Hyundai Sonata","Midsize Cars",11204.7088647188
"G","Business",345.933248658797,159.157321001217,"Subaru Legacy","Midsize Cars",55057.8091017819
"D","Pleasure",231.091362523648,122.573501603818,"Mazda CX-9","Midsize SUVs",28325.6774949208
"G","Pleasure",206.594874496358,266.518049727101,"Ford Explorer","Midsize SUVs",55061.2630343845
