"","Region_1","AccidentYear","MinorCoverageType","WrittenVehicles","NumberofEarnedVehicles","WrittenPremium","EarnedPremium","ClaimCount","ClaimCountORIGINAL","ClaimCountOMPP","ClaimCountGENERATED","LossAmount","ExpenseAmount","LossandExpenseAmount","Loss_Ratio","ClaimFrequency","AverageLossPerClaim","ExpenseRatio","CombinedRatio","AverageWrittenPremiumPerVehicle","AverageEarnedPremiumPerVehicle","LossRatio_Level","ClaimFrequency_Level","CombinedRatio_Level","Exposure_Level"
"1","Algoma",2019,"AB",73877.9998,73635.6326,19391203,18490401.1789,334.0685,513.5685,365.9749,0,8840329.5639,788705.8733,9629035.4381,0.478103718700706,0.00453677775561067,26462.6253714433,0.0426548816150089,0.520758600315714,262.476015220975,251.106706441197,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"2","Algoma",2019,"AP",12893.4996,12029.2716,5277078,4668857.7894,770,770,770,0,5345231.493,107574.901,5452806.394,1.14486920229946,0.0640105257911044,6941.85908181818,0.0230409461697964,1.16791014846926,409.282054035973,388.124729796607,"High Risk >= 0.75"," 0.05 >= Moderate Risk < 0.10","Unprofitable >= 1.10","0.01 >= Medium Exposure < 0.05"
"3","Algoma",2019,"BI",73900.3332,73652.4568,25171599,25527335.9733,47.6218,47.6218,29.8706,0,6701224.4097,1114150.0266,7815374.4359,0.262511701836379,0.000646574494172203,140717.579127626,0.0436453701148185,0.306157071951198,340.615500770164,346.591778229725,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"4","Algoma",2019,"CL",49708.4173,50022.0121,13624540,12719543.7065,1594,1594,1594,0,12624029.6885,232344.833,12856374.521,0.992490766948567,0.0318659712610801,7919.71749592221,0.0182667584908149,1.01075752543938,274.089193340702,254.278929865358,"High Risk >= 0.75","Low Risk < 0.05"," 1.00 >= Break-even < 1.10","High Exposure >= 0.05"
"5","Algoma",2019,"CM",54107.9161,54518.7315,5693350,5424507.5723,1516,1516,1516,0,4570342.2695,87255.518,4657597.7875,0.842535881567987,0.0278069565870218,3014.73764478892,0.016085426527113,0.8586213080951,105.222126638139,99.4980518264626,"High Risk >= 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"6","Algoma",2019,"DC",74055.6665,73798.3334,16564535,15086447.2472,1889,3436,3435,0,14593712.8355,256686.1535,14850398.988,0.967339267912036,0.0255967840054231,7725.62881709899,0.0170143539624705,0.984353621874507,223.676806689735,204.428020961243,"High Risk >= 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"7","Algoma",2019,"PD",73934.9165,73682.545,1111637,1092372.2791,82,82,82,0,923200.5265,13035.5155,936236.042,0.845133608901738,0.00111288229797166,11258.5430060976,0.0119332170445957,0.857066825946334,15.0353453094114,14.8253874659188,"High Risk >= 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"8","Algoma",2019,"SP",212.4166,240.7664,9221,8982.1527,0,0,0,0,0,0,0,0,0,NA,0,0,43.4099783161956,37.306504146758,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","Low Exposure < 0.01"
"9","Algoma",2019,"UA",73810.2499,73576.6511,977043,964238.4181,9.9202,12.8977,10.9133,0,1257971.3813,139007.6898,1396979.0707,1.30462690314579,0.000134828099019038,126809.074544868,0.144163193656928,1.44879009680272,13.2372265548988,13.1052229706606,"High Risk >= 0.75","Low Risk < 0.05","Unprofitable >= 1.10","High Exposure >= 0.05"
"10","Algoma",2019,"UM",72832.8333,72604.8843,1477405,1438569.1231,2.7732,2.7732,1.3866,0,236203.3205,18164.1744,254367.4949,0.164193236673258,3.81957774154872e-05,85173.5614092024,0.0126265565611875,0.176819793234446,20.2848761068313,19.8136686941873,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"11","Algoma",2020,"AB",74667.9999,74072.704,20305077,19870950.8517,286.1304,438.1494,308.0012,0,5244940.5618,481741.8831,5726682.4448,0.26395015522628,0.00386283184693784,18330.5952873235,0.0242435244641947,0.288193679690475,271.938139861705,268.262798286667,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"12","Algoma",2020,"AP",14332.4165,13537.5153,6585720,5919140.4283,609,609,609,0,4122298.3108,85055.5296,4207353.8404,0.696435295079482,0.0449860987414729,6768.96274351396,0.0143695745404757,0.710804869619957,459.498229066955,437.239796013379,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","0.01 >= Medium Exposure < 0.05"
"13","Algoma",2020,"BI",74688.8338,74073.4225,23069493,23781155.2084,48.816,48.816,21.7356,0,11440631.5879,1074169.6195,12514801.2082,0.481079724161547,0.000659021796920481,234362.331774418,0.0451689419663087,0.526248666127855,308.874724992694,321.048419335559,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"14","Algoma",2020,"CL",49062.2502,49267.6899,15002858,14313269.1028,1130,1130,1130,0,9711520.1895,137501.8367,9849022.0262,0.678497701660636,0.0229359241785761,8594.26565442478,0.00960659900351496,0.688104300664152,305.792293236481,290.520402556971,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"15","Algoma",2020,"CM",53444.6663,53706.8778,6285362,5990016.02,1128,1128,1128,0,3950298.9444,51752.554,4002051.4984,0.659480530804991,0.021002896578732,3502.0380712766,0.00863980226884268,0.668120333073834,117.605037792144,111.531637387419,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"16","Algoma",2020,"DC",74853.0831,74252.2263,18339129,17444500.947,1169,2086,2086,0,8896505.0634,109678.0403,9006183.1043,0.509989084263827,0.0157436356894797,7610.35505851155,0.00628725583111976,0.516276340094947,245.00165177565,234.935729422028,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"17","Algoma",2020,"PD",74624.4172,74036.1591,1145788,1123953.1474,42,42,41,0,498950.401,12457.9071,511408.3081,0.443924555177592,0.000567290368794942,11879.771452381,0.0110840092657051,0.455008564443298,15.3540629594357,15.1811379880186,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"18","Algoma",2020,"SP",170.8333,189.0765,8040,8431.4965,1,1,1,0,1618.2248,0,1618.2248,0.191926166369161,0.00528886456011191,1618.2248,0,0.191926166369161,47.0634238172534,44.5930430275576,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","Low Exposure < 0.01"
"19","Algoma",2020,"UA",74470.4167,73885.5725,958518,960323.1749,8.8917,14.8195,9.881,0,333719.7167,94719.4739,428439.1906,0.347507719716075,0.000120344198456336,37531.5987606419,0.0986329148100204,0.446140634526095,12.8711244340331,12.9974383686341,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"20","Algoma",2020,"UM",73528.0837,72961.435,1523609,1501827.5779,1.6398,1.6398,0,0,165868.04,34673.1447,200541.1847,0.110444129832755,2.2474886904294e-05,101151.38431516,0.0230873005731346,0.13353143040589,20.7214566643194,20.5838547158509,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"21","Algoma",2021,"AB",75881.5,75267.2654,19828181,20024898.1693,245.0812,375.5136,261.891,0,5820289.4394,885353.3571,6705642.7968,0.290652636043015,0.00325614593140247,23748.412523686,0.0442126271811623,0.334865263224178,261.304547221655,266.050560796646,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"22","Algoma",2021,"AP",15439.917,14987.1185,7034295,6856368.5638,695.0408,695.0408,694.0407,0,5109544.7588,84894.0492,5194438.808,0.745226093267095,0.0463758793926931,7351.4313962576,0.0123817802981334,0.757607873565229,455.591503503549,457.484109690599,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","0.01 >= Medium Exposure < 0.05"
"23","Algoma",2021,"BI",75951.167,75331.4018,22808992,22999233.3436,48.3181,48.3181,14.0553,0,9863165.7883,846047.8381,10709213.6269,0.428847589871713,0.000641407153530495,204129.835161151,0.0367859147937829,0.465633504665496,300.31127763975,305.307385685739,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"24","Algoma",2021,"CL",49436.6672,49172.8809,15132623,15061228.9404,1000,1000,1000,0,9496376.5202,131442.6853,9627819.2057,0.630518037922329,0.0203364127075174,9496.3765202,0.00872722178383599,0.639245259706165,306.101196886509,306.29136761438,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"25","Algoma",2021,"CM",53362.8329,53278.5761,6282696,6252874.4445,1285.4973,1285.4973,1284.4968,0,4624185.912,60363.9536,4684549.8656,0.739529628020504,0.0241278463896485,3597.19612946678,0.00965379268939197,0.749183420709896,117.735428547685,117.361891067881,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"26","Algoma",2021,"DC",75997.6664,75438.4891,18556190,18332021.7733,1127,2007,2007,0,8788179.695,134514.9555,8922694.6521,0.479389551445968,0.0149393235925771,7797.85243566992,0.00733770432762177,0.486727255773589,244.16789197622,243.006215951639,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"27","Algoma",2021,"PD",75925.4169,75283.6783,1127550,1135050.3245,49.1828,49.1828,48.1812,0,371355.2207,41199.8821,412555.1028,0.327170710130042,0.000653299640913003,7550.50994859992,0.0362978461929861,0.363468556323028,14.8507580996898,15.0769775086827,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"28","Algoma",2021,"SP",158.9997,164.1415,8023,8259.4855,2,2,2,0,14149.576,0,14149.576,1.71313043651448,0.0121846090111276,7074.788,0,1.71313043651448,50.4592147029208,50.3193007252889,"High Risk >= 0.75","Low Risk < 0.05","Unprofitable >= 1.10","Low Exposure < 0.01"
"29","Algoma",2021,"UA",75833.5835,75196.5262,940930,951635.8947,13.7896,15.7607,13.7896,0,198899.8957,15322.8867,214222.7824,0.209008399964466,0.000183380811546053,14423.906110402,0.0161016275083134,0.225110027472779,12.4078271996733,12.6553172438968,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"30","Algoma",2021,"UM",74727.0837,74121.7068,1538833,1522513.5832,1.4524,1.4524,0.4805,0,1219275.8044,60163.9539,1279439.7583,0.800830822039263,1.95947997247144e-05,839490.363811622,0.0395162017363078,0.840347023775571,20.5927078082936,20.540724828533,"High Risk >= 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"31","Algoma",2022,"AB",76330.0831,75986.88,20224922,20020326.6449,314.5778,451.5502,318.5882,0,12564469.5794,1528809.4562,14093279.0345,0.627585643444069,0.00413989625577468,39940.7382828667,0.0763628627702461,0.703948506214315,264.966592182316,263.470833976865,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"32","Algoma",2022,"AP",15832.1669,15606.7771,7697221,7323603.4421,912.2405,912.2405,911.2405,0,6479402.0488,91701.7368,6571103.7856,0.884728685820552,0.0584515620460806,7102.7344749548,0.012521395720698,0.89725008154125,486.17609002088,469.257899640279,"High Risk >= 0.75"," 0.05 >= Moderate Risk < 0.10","Profitable < 1.00","0.01 >= Medium Exposure < 0.05"
"33","Algoma",2022,"BI",76350.4168,76015.9872,22688928,22733269.7656,47.4293,47.4293,5.0346,0,10973395.9328,591136.5954,11564532.5289,0.482702050604482,0.000623938486455649,231363.227641985,0.0260031487548926,0.508705199359375,297.168358090745,299.059061165491,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"34","Algoma",2022,"CL",50049.5835,49647.381,15887770,15463795.7248,1281.6202,1281.6202,1277.6202,0,12370611.8006,129752.5473,12500364.3483,0.799972530726119,0.0258144573628164,9652.32274007541,0.00839073081468025,0.8083632615408,317.440603676552,311.472537187813,"High Risk >= 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"35","Algoma",2022,"CM",53698.2505,53460.4915,6750269,6506432.5969,1647.6396,1647.6396,1647.6396,0,5710442.6736,99882.1488,5810324.8224,0.877661082099083,0.0308197615429705,3465.83237839149,0.0153512923268565,0.893012374425939,125.70742877368,121.705439182129,"High Risk >= 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"36","Algoma",2022,"DC",76313.333,76002.3404,19886542,19343657.8127,1357.4721,2352.8229,2352.8229,0,12370875.0346,123576.4823,12494451.5168,0.63953132103474,0.0178609249775156,9113.17074921835,0.00638847541124649,0.645919796445987,260.590662446889,254.513975634098,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"37","Algoma",2022,"PD",76331.9168,75993.7505,1158229,1139026.9747,77.1331,77.1331,76.0376,0,1288566.9105,30175.0081,1318741.9186,1.1312874401762,0.00101499267364097,16705.7581051455,0.0264919170223757,1.15777935719857,15.1735872562288,14.9884295380316,"High Risk >= 0.75","Low Risk < 0.05","Unprofitable >= 1.10","High Exposure >= 0.05"
"38","Algoma",2022,"SP",127.0832,143.4702,6461,6982.0949,0,0,0,0,0,0,0,0,0,NA,0,0,50.8407090787767,48.6658198009064,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","Low Exposure < 0.01"
"39","Algoma",2022,"UA",76299.1665,75943.2741,951785,945389.2976,13.6892,16.6121,13.6892,0,488211.1779,3787.7385,491998.9164,0.516412846157018,0.000180255594221214,35663.9670616252,0.00400653837484271,0.52041938453186,12.4743826657661,12.448624434537,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"40","Algoma",2022,"UM",75183.0834,74826.2451,1574038,1560112.9014,3.3974,3.3974,0.7604,0,419398.7086,73203.3,492602.0086,0.26882587037364,4.54038552310037e-05,123446.961970919,0.0469217964509552,0.315747666824595,20.9360660512628,20.8498087711741,"Low Risk < 0.50","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"41","Algoma",2023,"AB",76803.7501,76388.027,20577886,20382928.9002,271.4702,407.5935,153.818,0,13636352.628,1097004.5301,14733357.1568,0.669008497000949,0.00355383180665211,50231.489968328,0.0538197692525551,0.722828266253504,267.9281411807,266.834079903648,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"42","Algoma",2023,"AP",16034.6665,15909.0163,9405144,8395202.0551,937.6076,937.6076,834.1566,0,7686160.4418,86632.3479,7772792.7897,0.915542043104339,0.0589356112483209,8197.63026856864,0.0103192689504563,0.925861312054795,586.550646376088,527.700889658401,"High Risk >= 0.75"," 0.05 >= Moderate Risk < 0.10","Profitable < 1.00","0.01 >= Medium Exposure < 0.05"
"43","Algoma",2023,"BI",76823.2504,76425.0362,22064137,22413617.1996,53.2611,53.2611,3.2857,0,13236707.9038,751633.9018,13988341.8054,0.590565448937721,0.000696906441242876,248524.869065791,0.0335346987996839,0.624100147737405,287.206501744165,293.275846686481,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"44","Algoma",2023,"CL",50614.2501,50218.7135,18766658,17104914.563,1247.9168,1247.9168,1035.202,0,13219989.4623,135479.5684,13355469.0312,0.772876673169502,0.0248496369784543,10593.64651738,0.00792050541386852,0.78079717858337,370.778149689508,340.608378249276,"High Risk >= 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"45","Algoma",2023,"CM",54067.9172,53751.9377,8765932,7552104.6957,1680.7746,1680.7746,1597.1249,0,7865556.5505,87924.9465,7953481.497,1.04150523164469,0.0312690978580294,4679.72121336198,0.011642442741831,1.05314767438652,162.128161282307,140.499208379236,"High Risk >= 0.75","Low Risk < 0.05"," 1.00 >= Break-even < 1.10","High Exposure >= 0.05"
"46","Algoma",2023,"DC",76774.1669,76370.8048,23009093,21134558.969,1335.1182,2254.6934,1879.4942,0,12443486.6768,113231.0584,12556717.7381,0.58877437163709,0.0174820496326628,9320.13860405768,0.00535762579981377,0.594131997436904,299.698374193625,276.73610385994,"0.50 >= Moderate Risk < 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
"47","Algoma",2023,"PD",76788.4172,76394.9805,1164260,1169288.1419,66.0338,66.0338,29.4121,0,941201.5599,13565.3946,954766.9545,0.804935521171559,0.000864373543494785,14253.3302626837,0.0116014129570811,0.81653693412864,15.1619221030122,15.3058242079138,"High Risk >= 0.75","Low Risk < 0.05","Profitable < 1.00","High Exposure >= 0.05"
